feature,mean_abs_shap
number_diagnoses,0.1416549
num_lab_procedures,0.11800183
num_medications,0.11442885
los_x_diagnoses,0.10862088
med_changed,0.107056804
number_inpatient,0.1054807
clinical_risk_score,0.09401115
prior_visits_total,0.07932099
num_procedures,0.06905853
time_in_hospital,0.06505799
a1c_abnormal,0.05502428
on_diabetes_med,0.054044873
age_midpoint,0.047915824
number_emergency,0.044789035
number_outpatient,0.040571656
charlson_proxy,0.032662988
has_prior_inpatient,0.031440705
urgent_admission,0.018480351
on_insulin,0.017817726
emergency_admission,0.017075501
has_diabetes_primary,0.016932262
working_age,0.016749762
has_circulatory_dx,0.015247683
long_los,0.007919001
has_prior_emergency,0.0067137876
high_lab_burden,0.0052941386
polypharmacy,0.0038922646
high_prior_utilisation,0.0027217688
elderly,0.0021924297
glucose_tested,0.0
a1c_tested,0.0
